address,email,name,phone,website
"2124 Franklin Rd, Bloomfield Twp, MI 48304",bloomgyms@aol.com,Bloomfield Gymnastics,(248) 494-4060,http://www.bloomfieldgymnastics.com
"3972 Miramar Ave NE, Grand Rapids, MI 49525",,American Furniture Contractor,(616) 363-0655,http://afcinc.us
,FitFix@rocketmail.com,Fit FIx,(248) 345-2262,
"4567 Washtenaw Ave, Ann Arbor, MI 48108",,Snap Fitness - Fitness Club,(734) 973-6900,
"6858 Gilman St, Garden City, MI 48135",lolliorobyn@yahoo.com,Home,(313) 377-6712,
"6750 Orchard Lake Rd, West Bloomfield, MI 48322",,Get Downsized,(248) 798-4400,
"4690 Randolph Hwy, Adrian, MI 49221",dynamicfitness1@live.com,Dynamic Gym Outfitters,(517) 902-6701,http://www.dynamiccluboutfitters.com
"1305 S Cedar St Ste 407, Lansing, MI 48910",sales@nimblesports.com,Nimble Sports,(517) 316-3749,http://www.nimblesports.com
"9410 Davis Hwy, Dimondale, MI 48821",,Twistars USA Gymnastics Booster Club,(517) 322-0882,
"41620 6 Mile Rd, Northville, MI 48168",,Super Slow Zone,(248) 880-4576,http://www.superslow-northville.com
"5920 Enterprise Dr, Lansing, MI 48911",,The Yoke Strength Machine,(517) 599-0613,http://probodyequipment.com
"26110 Crocker Blvd, Harrison Township, MI 48045",harrisontwp@snapfitness.com,Snap Fitness - Fitness Club,(586) 463-2233,http://www.snapfitness.com/harrisontwp
